dataset,message_size_bytes,measured_rtt_microseconds,predicted_rtt_microseconds,relative_error_percent,absolute_error_milliseconds
dardel_5,131072.0,21.568959,18.994386728,13.554384823621463,0.002574572272000001
dardel_5,262144.0,33.297986,32.940316456,1.085810892186663,0.0003576695440000037
dardel_5,524288.0,55.717607,60.832175912,8.407670505488323,0.005114568911999995
dardel_5,1048576.0,102.1415,116.615894824,12.412025689847141,0.014474394824000002
dardel_5,2097152.0,193.151583,228.183332648,15.352457710853345,0.035031749648000016
dardel_5,4194304.0,373.587528,451.31820829599997,17.223032190409604,0.07773068029599994
school_cluster_2,4.0,0.686597,0.9159206240000001,25.03749975609241,0.00022932362400000005
school_cluster_2,8.0,0.677085,0.916880248,26.15338791767711,0.00023979524799999996
school_cluster_2,16.0,0.90364,0.918799496,1.6499242833716132,1.5159495999999995e-05
school_cluster_2,32.0,0.860735,0.9226379920000001,6.7093478197026215,6.190299200000004e-05
school_cluster_2,64.0,1.068529,0.930314984,14.85669030135712,0.00013821401600000005
school_cluster_2,128.0,0.951634,0.945668968,0.6307737910249351,5.965031999999981e-06
school_cluster_2,256.0,1.067477,0.976376936,9.330419496922655,9.110006400000003e-05
school_cluster_2,512.0,1.381419,1.037792872,33.11124380125825,0.0003436261279999999
school_cluster_2,1024.0,1.664563,1.160624744,43.419568521623745,0.0005039382560000001
school_cluster_2,2048.0,2.138436,1.406288488,52.06239816705376,0.0007321475120000001
school_cluster_2,4096.0,5.195097,1.897615976,173.76967024438667,0.0032974810239999996
school_cluster_2,8192.0,6.956908,2.880270952,141.536581659766,0.004076637048
school_cluster_2,16384.0,10.691163,4.845580904,120.63738511051388,0.005845582095999999
school_cluster_2,32768.0,18.192498,8.776200808,107.29354760680174,0.009416297192
school_cluster_2,65536.0,32.130465,16.637440616,93.12144062050368,0.015493024384000001
school_cluster_2,131072.0,33.474852,32.359920232,3.445409506595344,0.0011149317679999982
school_cluster_2,262144.0,61.631152,63.804879463999995,3.406835781621461,0.0021737274639999954
school_cluster_2,524288.0,118.396661,126.694797928,6.54970611557058,0.008298136928000006
school_cluster_2,1048576.0,227.440219,252.474634856,9.915616224290599,0.02503441585599998
school_cluster_2,2097152.0,408.97239,504.034308712,18.860207939995085,0.09506191871199997
